G.Id,Grievance Description,Department,Line Department,Service Name,Grievance Name,Grievance SubCategory1,Grievance SubCategory2,Service Type,District,Taluk,GP/Village/Hobli,Created Date,Status,Days Left Before Escalation,Days Pending Beyond Deadline,Officer Role,Pending with / Closed By,Grievance Source,call recording link ,Unnamed: 20
241050,"Citizen reports that in their locality Chimmada Rabakavi banahatti JJM scheme not implemented properly and no proper water supply past 6 months. he contacted the concern department but no response. please do the needful.
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,BAGALKOTE,RABAKAVI BANAHATTI,CHIMMAD / Chimmad,16/05/2025 05:18 PM,Resolved (Feedback Taken),,,L2,Executive Engineer-RDWS-Bagalakote,iPGRS-Call Center ,https://drive.google.com/file/d/1ZyswuuC98CiYMOAH6QRa9qo84XJFvBaZ/view?usp=sharing,
241048,Citizen reports that in their locality Asangi Rabakavi banahatti JJM scheme not implemented properly and no proper water supply past 9 months. he  contacted the concern department but no response. please do the needful.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,BAGALKOTE,RABAKAVI BANAHATTI,ASANGI / Asangi,16/05/2025 05:14 PM,Resolved (Feedback Taken),,,L2,Executive Engineer-RDWS-Bagalakote,iPGRS-Call Center ,https://drive.google.com/file/d/1BEpaBj4bpVy_pz7Zk0Gh9TLf6Fe1vtIP/view?usp=sharing,
241021,"CITIZEN SAYS THAT THERE IS NO STREET LIGHT FACILITY NEAR HIS HOUSE.FOR REQUIREMENT OF NEW STREET LIGHT CONNECTION DUE TO DARKNESS, HE HAS ALSO VISITED CONCERNED DEPARTMENT BUT NO NECESSARY ACTION HAS BEEN TAKEN SO FAR, AS PER CITIZEN REQUEST PLEASE KINDLY DO THE NEEDFUL",Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate,Maintenance of Street Light,Issues in Maintenance of Street Light,New Street Light Required,,Non Sakala,VIJAYANAGAR,Kudligi,PUJARAHALLI / Poojarahalli,16/05/2025 03:15 PM,Resolved (Feedback Taken),,,LMF,Panchayat Development Officer(PDO) - KUDLIGI - PUJARAHALLI,iPGRS-Call Center ,https://drive.google.com/file/d/1TK2_M3awMeXaEmMbwcKlKL5KbHjfGdS4/view?usp=sharing,
240973,CITIZEN SAYS THAT IN IS LOCALITY DRAINAGE CLEANING NOT HAPPENING REGULARLY FROM PAST 3 MONTHS DUE TO THIS ISSUES CITIZEN ARE FACING PROBLEM TO WALK IN THE ROAD AND ALSO CITIZEN IS VISITED CONSED DEPARTMENT BUT THERE IS NO PROPER REPOSE SO AS PER THE CITIZEN REQUEST KINDLY DO THE NEEDFUL.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage Cleaning is not happening regularly,Non Sakala,BIDAR,Bidar,BAGDAL / Bagdal,16/05/2025 11:18 AM,Closed by Officer,,,L2,Executive Officer-ZP -EO-KAMALANAGAR,iPGRS-Call Center ,https://drive.google.com/file/d/1-f1DEjBwIxl34UxlvVpkPFoQ2LhQu44q/view?usp=sharing,
240959,CITIZEN SAYS THAT IN HIS LOCALITY HE IS FACING ROAD ISSUES FROM PAST TWO YEARS .AND HE IS SAYING ROAD IS NOT MAINTAINED PROPERLY DUE TO THIS ISSUE THEY ARE NOT ABLE TO WALK IN THE ROAD.AND ALSO CITIZEN VISITED THE CONSED DEPARTMENT BUT THERE IS NO PROPER RESPOND SO  AS PER THE CITIZEN REQUEST PLEASE DO THE NEEDFUL.,Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road not maintained properly,,Non Sakala,BELAGAVI,Gokak,KONNUR (RURAL) / Shivapur,16/05/2025 10:14 AM,InProcess,11.0,,LMF,Assitance Executive Engineer-PRED-GOKAK,iPGRS-Call Center ,https://drive.google.com/file/d/1ch1kynIz8vOhAftHdCr99d4IYmlXSbka/view?usp=sharing,
240875,CITIZEN SAYS THAT GARBAGE HAS BEEN PILED UP NEAR BASAVESHWARA TEMPLE WATER TANK SINCE 8 TO 9 DAYS EVEN THE PDO HAS NOTICED THIS ISSUE BUT TILL NOW THE GARBAGE HAS BEEN NOT CLEANED AND OFFICER HAS TO TAKE ACTION AGAINST PUBLIC THROWING GARBAGE WASTE NEAR WATER TANK AND STRICT MEASURED SHOULD BE IMPLEMENTED AND GARBAGE VEHICLE IS NOT ARRIVING REGULARLY ARRIVING ONCE IN A WEEK . PLEASE KINDLY TAKE ACTION.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Solid Waste,Garbage Piled Up,Non Sakala,HAVERI,Hirekerur,CHIKKERUR / Chikkerur,15/05/2025 02:07 PM,Resolved (Feedback Taken),,,LMF,Panchayat Development Officer(PDO) - HIREKERUR - CHIKKERUR,iPGRS-Call Center ,https://drive.google.com/file/d/15lJ0MOfw_O5I3XRziFpiH5lH6hKtQc2r/view?usp=sharing,
240730,"CITIZEN SAYS THAT IN THEIR LOCALITY JJM TAP CONNECTION IS NOT COMPLETED AND WATER NOT COMING IN TAPS . AS A RESULT PEOPLE OF THE LOCALITY ARE FACING SERIOUS PROBLEM FROM PAST 7 MONTHS, HE HAS ALSO VISITED CONCERNED DEPARTMENT BUT NO NECESSARY ACTION HAS BEEN TAKEN SO FAR, SO AS PER CITIZENS REQUEST KINDLY RESOLVE THIS ISSUE.	",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Jal Jeevan Mission tap connection not Completed,Non Sakala,RAICHUR,Sindhnur,R.H.CAMP / Sindhnur (Rural),15/05/2025 11:24 AM,Resolved (Feedback Taken),,,LMF,Assistance  Engineer/Junior Engineer-RDWS-SINDHNUR,iPGRS-Call Center ,,
240716,"Citizen reports that in their locality Near NONABURU HIGH SCHOOL, ಶಿರಗಾರು-ನೊಣಬೂರು, ತೀರ್ಥಹಳ್ಳಿ,  there is no proper drinking water supply past two months .There is no proper maintenance of water supply also. He had also complained to the concerned department but there is no response from them .So as per citizens request please do the needful. ",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Volumetric Water Supply problems,Water not available in taps,Non Sakala,SHIVAMOGGA,Tirthahalli,NONABURU / Shiragaru,15/05/2025 09:25 AM,Closed by Officer,,,L2,Executive Engineer-RDWS-SHIVAMOGGA,iPGRS-Call Center ,,
240619,"CITIZEN SAYS THAT IN HIS VILLAGE JJM WORK NOT DONE PROPERLY AND COMPLETELY IN THEIR ENTIRE VILLAGE (BENDEKATTE), THEY ARE FACING THIS ISSUE FROM PAST 1 YEAR REGARDING THIS ISSUE HE VISITED TO CONCERN DEPARTMENT BUT DID NOT GET ANY RESOLUTION AS PER CITIZEN REQUEST KINDLY DO THE NEEDFUL	",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,SHIVAMOGGA,Shikarpur,BEGURU / BENDEKATTE,14/05/2025 11:49 AM,Resolved (Feedback Taken),,,L2,Executive Engineer-RDWS-SHIVAMOGGA,iPGRS-Call Center ,,
240538,"Citizen says that In his locality, ""near NAGANJANEYA TEMPLE, HARINAPUR, the citizen says . The drain has been completely blocked for the past 3 years, and the citizen has raised a complaint at Janaspandan on several occasions without receiving a resolution. He has also visited the concerned department on this matter without receiving a resolution. Please take the necessary action.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage line blocked,Non Sakala,BAGALKOTE,ILKAL,NANDWADGI / Harnapur,13/05/2025 05:26 PM,Resolved (Feedback Taken),,,L2,Executive Officer-ZP -EO-ILKAL,iPGRS-Call Center ,https://drive.google.com/file/d/1cE8fboQgHgouCT9DD0vS4lQVlD0MDitb/view?usp=sharing,
240379,CITIZEN SAYS THAT HE FACING A PROBLEM WITH GARBAGE COLLECTION IS NOT HAPPENING REGULARLY FROM PAST 4 YEARS REGARDING THIS ISSUES CITIZEN ARE FACING PROBLEM DUE TO THIS ISSUES CITIZEN ALSO VISITED CONSED DEPARTMENT BUT THERE IS NO PROPER RESPONSE  AS PER THE CITIZEN REQUEST KINDLY DO THE NEEDFUL.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Solid Waste,Garbage collection Vehicle is not coming Regularly in Ward/Village,Non Sakala,CHAMARAJANAGARA,Yelandur,AGARA / Agara,12/05/2025 04:44 PM,InProcess,6.0,,L2,Executive Officer-ZP -EO-YELANDUR,iPGRS-Call Center ,https://drive.google.com/file/d/1i5A4FVhe0bpfAqQr4bNfEnR6tHN4HFQC/view?usp=sharing,
240105,CITIZEN SAYS THAT THERE IS NO PROPER DRINAGE SYSTEM FROM PAST 5 YEARS. THEY COMPLINED TO CONCERN DEPARTMENT BUT NO ANY RESPONSE. PLEASE DO THE NEEDFUL.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,No proper Drainage system,Non Sakala,MANDYA,Mandya,CHANDAGALU (DUDDA) / Chandagal,10/05/2025 03:17 PM,Resolved (Feedback Taken),,,L2,Executive Officer-ZP -EO-MANDYA,iPGRS-Call Center ,https://drive.google.com/file/d/1oPEoNdwLiwvU1DzamMTPdmPWWrO8MW8y/view?usp=sharing,
239995,"Citizen reports that in their locality BOLANI road not developed past 3 years , the road developed up to Ele Navadhagi but not developed in Bolani, this can  lead the travel issues , he had contacted the concern department but no response. Please do the needful. ",Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Connecting Roads and Bridges,Connectivity issue pertaining to roads and bridges,Road not maintained properly,,Non Sakala,KALABURAGI,Aland,HALLISALAGAR / Hallisalgar,09/05/2025 03:19 PM,Resolved (Feedback Taken),,,L2,Executive Engineer-PRED-Kalaburagi,iPGRS-Call Center ,https://drive.google.com/file/d/1mSniObdOP9S8ThrwYCDNHSqQST50nZHX/view?usp=sharing,
239968,CITIZEN SAYS THAT HE IS FACING DRAINAGE OVER FLOW FROM PAST 10 YEARS REGARDING THIS ISSUE HE VISITED TO CONCERN DEPARTMENT BUT DID NOT GET ANY RESOULTION AS PER CITIZEN REQUEST KINDLY DO THE NEEDFUL .,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,No proper Drainage system,Non Sakala,GADAG,Gadag,CHIKKAHANDIGOL / Chikkahandigol,09/05/2025 12:57 PM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-GADAG,iPGRS-Call Center ,https://drive.google.com/file/d/1U2yUMUB0Qit5ZkSBr691jqRLEjKCF9Pn/view?usp=sharing,
239887,"The citizen claims that his village has not had proper road maintenance for the past nine years (since 2017). As a result, he is unable to travel from one location to another and has filed a grievance last time with ID 204061 and 234193. The citizen visited the relevant department, but they did not respond appropriately, so he asked that they please take the necessary action.
",Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road not maintained properly,,Non Sakala,MYSURU,Tirumakudal - Narsipur,UKKALAGERE / Ukkalagere,08/05/2025 04:14 PM,Resolved (Feedback Taken),,,LMF,Assitance Executive Engineer-PRED-TIRUMAKUDAL-NARSIPUR,iPGRS-Call Center ,https://drive.google.com/file/d/1vD7GS_YF5OVEpzkwAxZGrzif22NL0GYz/view?usp=sharing,
239582,"The citizen states that in his Locality  ""Near NARASIMHA TEMPLE, HOSAGADDE VILLAGE"" Drinking Water is Unavailable from past 1 years and the tanker water which is provided is not in the condition to drink, so people of that area facing severe problems due to this issue.so citizen has visited concerned department regarding this matter, but no resolution has been obtained. Please take the necessary action.
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Volumetric Water Supply problems,Water not available in taps,Non Sakala,UTTARA KANNADA,Ankola,VANDIGE / Vandige,06/05/2025 05:33 PM,Resolved (Feedback Taken),,,LMF,Assistance  Engineer/Junior Engineer-RDWS-ANKOLA,iPGRS-Call Center ,,
239574,CITIZEN SAYS THAT IN ABOVE MENTIONED SCHEME CONNECTION IS NOT COMPLETED FROM PAST 7 MONTHS THEY COMPLAINED TO CONCERN DEPARTMENT BUT NO ANY RESPONSE PLEASE DO THE NEEDFUL  ,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Jal Jeevan Mission tap connection not Completed,Non Sakala,KODAGU,Madikeri,MARAGODU / Maragodu,06/05/2025 04:46 PM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-KODAGU,iPGRS-Call Center ,https://drive.google.com/file/d/1Rbw0zIpTNVZ6ZsFL-PQsTUuN83_EnanT/view?usp=sharing,
239569,"CITIZEN SAYS THAT DRAINAGE BLOCKAGE ISSUE IN HER LOCALITY FROM  PAST 1 WEEK , BECAUSE OF OVER FLOW CITIZENS ARE UNABLE TO WALK ON ROAD AND FACING MANY HEALTH ISSUE. REGARDING THIS HE HAD VISITED TO CONCERNED DEPARTMENT BUT NO PROPER RESPONSE FROM THEM AS PER CITIZEN REQUEST KINDLY DO NEEDFUL.
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage line blocked,Non Sakala,TUMAKURU,Tumakuru,SWANDENAHALLI / Ajjappanahalli,06/05/2025 04:27 PM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-TUMAKURU,iPGRS-Call Center ,https://drive.google.com/file/d/1EaZdtP2Jv5HH-UJ6MR1DhaWIEg69AL31/view?usp=sharing,
239210,"CITIZEN SAYS THAT IN THEIR LOCALITY JJM TAP CONNECTION IS COMPLETED AND WATER NOT COMING IN TAPS . AS A RESULT PEOPLE OF THE LOCALITY ARE FACING SERIOUS PROBLEM FROM PAST 11 MONTHS. SO AS PER CITIZENS REQUEST KINDLY RESOLVE THIS ISSUE.
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Jal Jeevan Mission tap connection not Completed,Non Sakala,BAGALKOTE,RABAKAVI BANAHATTI,ASANGI / Asangi,05/05/2025 03:43 PM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-BAGALKOTE,iPGRS-Call Center ,,
239209,"CITIZEN SAYS THAT IN THEIR LOCALITY JJM TAP CONNECTION IS COMPLETED AND WATER NOT COMING IN TAPS . AS A RESULT PEOPLE OF THE LOCALITY ARE FACING SERIOUS PROBLEM FROM PAST 7 MONTHS. SO AS PER CITIZENS REQUEST KINDLY RESOLVE THIS ISSUE.
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Jal Jeevan Mission tap connection not Completed,Non Sakala,BAGALKOTE,RABAKAVI BANAHATTI,CHIMMAD / Chimmad,05/05/2025 03:42 PM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-BAGALKOTE,iPGRS-Call Center ,https://drive.google.com/file/d/1BbW2w1qqfuoSmokb-zWoPpOgNCygtx3P/view?usp=sharing,
239202,"CITIZEN SAYS THAT HE SAYS IN HIS LOCALITY RO PLANT MAINTENANCE IS NOT FUNCTIONING FROM PAST 1 MONTH. DUE TO THIS CITIZENS ARE FACING PROBLEM, CITIZEN HAVE ALSO VISITED CONCERNED DEPARTMENT BUT NO ACTION HAS BEEN TAKEN SO FAR, AS PER CITIZENS REQUEST KINDLY RESOLVE THIS ISSUE.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,RO Plant Maintenance Problem,Operation & Maintenance,There is no Raw Water Supply to RO Plant,Non Sakala,BENGALURU RURAL,Dodda Ballapur,SASALU / Bhovipalya (D),05/05/2025 03:12 PM,Resolved (Feedback Taken),,,L2,Executive Engineer-RDWS-Bangalore Rural,iPGRS-Call Center ,https://drive.google.com/file/d/16GDGilP74tEydvLJXtc1EMMw0ToCSm1v/view?usp=sharing,
239082,"The citizen states that in his Locality ""WARD NO : 03, NEAR AODI KIRANI STRORE, Near FLOUR MILL, MAGADI VILLAGE, ಮಾಗಡಿ-, ಶಿರಹಟ್ಟಿ, ಗದಗ - 582117 "" JJM work not done properly due to this issue pipelines are broken and water is flowing on road from past 1 year(quality of pipes not good) so citizen has visited concerned department regarding this matter, but no resolution has been obtained. Please take the necessary action. 
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Pipeline & Leakage problems,Water pipeline leakage,Non Sakala,GADAG,Shirhatti,MAGADI / Magadi,05/05/2025 11:09 AM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-GADAG,iPGRS-Call Center ,https://drive.google.com/file/d/1BHXWqKLA2JGrX3jiERZ1W4oWZjszoYF6/view?usp=sharing,
238901,CITIZEN SAYS THAT IN HIS VILLAGE JJM WORK NOT DONE PROPERLY IN THEIR ENTIRE VILLAGE (MALAKAPUR) REGARDING THIS ISSUE HE VISITED TO CONCERN DEPARTMENT BUT DID NOT GET ANY RESOLUTION AS PER CITIZEN REQUEST KINDLY DO THE NEEDFUL	,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,RAICHUR,Sindhnur,SOMALAPUR / Malakapur,04/05/2025 01:52 PM,Resolved (Feedback Taken),,,LMF,Assistance  Engineer/Junior Engineer-RDWS-SINDHNUR,iPGRS-Call Center ,https://drive.google.com/file/d/1v20eZWC317i4nZKlRXoqOSavnf98W-eE/view?usp=sharing,
238781,CITIZEN SAYS THAT UNDER JJM DRINKING WATER PIPE LINE CONSTRUCTION WORK HAS BEEN UNDERTAKEN BY OFFICER UNDER 15TH FINANCIAL FUND PROVIDED BY GOVERNMENT SINCE 10 YEARS THE WORK HAS BEEN NOT COMPLETED BUT THE OFFICER IS INAUGURATING WITHOUT COMPLETION OF WORK AND HE REQUEST THE OFFICER TO TAKE ACTION AND WORK SHOULD BE COMPLETED AS SOON AS POSSIBLE. PLEASE KINDLY TAKE ACTION.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,JJM Work not done Properly,Non Sakala,BAGALKOTE,Mudhol,VANTGODI / Vantigodi,03/05/2025 02:42 PM,Closed by Officer,,,LMF,Assistance  Engineer/Junior Engineer-RDWS-MUDHOL,iPGRS-Call Center ,https://drive.google.com/file/d/1DQqUoGT7YFtG6O77Uoxtcf3HL1kPsZtX/view?usp=sharing,
238609,CITIZEN SAYS THAT WATER IS NOT COMING FOR PAST 6 MONTHS. THEY COMPLAINED TO CONCERN DEPARTMENT BUT HAVE NOT ANY RESPONSE. PLEASE DO THE NEEDFUL ,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Jal Jeevan Mission tap connection not Completed,Non Sakala,BAGALKOTE,Jamkhandi,KANNOLLI / Gadyal,02/05/2025 05:57 PM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-BAGALKOTE,iPGRS-Call Center ,https://drive.google.com/file/d/1YRMfBxFmmHKbZYPQUvEConggBKPup0JE/view?usp=sharing,
238606,"The resident claims that for the past six years, there has been drainage blockage and overflow in his village. As a result, day by day, mosquitoes are growing and residents are experiencing health problems. The resident has visited the appropriate department, but they have not responded appropriately. As per the resident's request, kindly take the necessary action.",Rural Development and Panchayath Raj Department,"Director, Rural Development","Cross drainage,  Drainages  and Culverts",Issue pertaining to drianges,Quality of work is not satisfactory,,Non Sakala,DAVANGERE,Honnali,ARABHAGATTA / Arabagatte,02/05/2025 05:22 PM,Closed by Officer,,,LMF,Assitance Executive Engineer-PRED-HONNALI,iPGRS-Call Center ,https://drive.google.com/file/d/1uSBID7-hacBUX-vlUcp1Iz2iOpK4aWrL/view?usp=sharing,
238597,Citizen reports that in their locality  there is no proper drinking water supply past six month . He had given the request letter to the concern department but no response.So as per citizens request please do the needful.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Volumetric Water Supply problems,Water not available in taps,Non Sakala,VIJAYAPURA,BABALESHWAR,HOSUR / Hosur,02/05/2025 04:36 PM,Closed by Officer,,,LMF,Assistance  Engineer/Junior Engineer-RDWS-BABALESHWAR,iPGRS-Call Center ,https://drive.google.com/file/d/12hvjSrZ4QpVeAT83LTYOY3VKXoKw0zIZ/view?usp=sharing,
238470,"CITIZEN SAYS THAT DRAINAGE BLOCKAGE ISSUE IN HIS LOCALITY FROM 15 DAYS , BECAUSE OF OVER FLOW CITIZENS ARE UNABLE TO WALK ON ROAD AND FACING MANY HEALTH ISSUE AND REQUESTING FOR DRAINAGE LID .REGARDING THIS HE HAD VISITED TO CONCERNED DEPARTMENT BUT NO PROPER RESPONSE FROM THEM AS PER CITIZEN REQUEST KINDLY DO NEEDFUL.	",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Sanitation,Facing problem pertaining to Sanitation,Problems pertaining to Liquid Waste,Drainage line blocked,Non Sakala,VIJAYAPURA,Sindgi,NAGAVI B.K / Nagavi(B.K),02/05/2025 10:56 AM,Resolved (Feedback Taken),,,L2,Executive Officer-ZP -EO-SINDGI,iPGRS-Call Center ,https://drive.google.com/file/d/1Haw4cRHsh9SAsvVIQKmhbndbgRxztHrf/view?usp=sharing,
238322,"CITIZEN SAYS THAT AT THE ABOVE-MENTIONED ADDRESS, THE RO PLANT HAS NOT BEEN WORKING FOR PAST MONTH. THEY COMPLAINED TO CONCERNED DEPARTMENT, BUT THERE WAS NO RESPONSE PLEASE DO THE NEEDFUL ",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,RO Plant Maintenance Problem,Operation & Maintenance,Water Purification Plant  non functional,Non Sakala,BAGALKOTE,Bagalkot,MUGALOLLI / Mugalalli,30/04/2025 12:57 PM,Resolved (Feedback Taken),,,L2,Executive Engineer-RDWS-Bagalakote,iPGRS-Call Center ,https://drive.google.com/file/d/1nPLTvaI1Jns9tDEFWrC98OuA7V1RSTsn/view?usp=sharing,
238310,"Citizen reports that in their locality Near MARAMMA TEMPLE , hangerga (B) there is no proper drinking water supply past one month . He had given the request letter to the concern department but no response.So as per citizens request please do the needful.",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Volumetric Water Supply problems,Water not available in taps,Non Sakala,KALABURAGI,YADRAMI,YALGOD / Hangerga (B),30/04/2025 09:45 AM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-KALABURAGI,iPGRS-Call Center ,https://drive.google.com/file/d/104MoSwDSeKRGL7XbdRyQ4Tfm5SiiNT0D/view?usp=sharing,
237969,"The citizen states that in his Locality ""WARD NO : 06, BASAVESHWARA TEMPLE, Near MARAMMA TEMPLE, VAJUVALLI VILLAGE, ವಾಜುವಳ್ಳಿ-ಬಸ್ಕಲ್‌,  ಚಿಕ್ಕಮಗಳೂರು - 577133  "" drinking water is unavailable from past 2 years and JJM work completed but water facility not done so citizen has visited concerned department regarding this matter, but no resolution has been obtained. Please take the necessary action. 
",Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Volumetric Water Supply problems,Water not available in taps,Non Sakala,CHIKKAMAGALURU,Chikkamagaluru,BASKAL / Vajuvalli,28/04/2025 02:05 PM,Resolved (Feedback Taken),,,LMF,Assistance  Engineer/Junior Engineer-RDWS-CHIKKAMAGALURU,iPGRS-Call Center ,https://drive.google.com/file/d/15NohzxtzaDP4JguN6TGQZLKp2QTW-bzZ/view?usp=sharing,
237872,Citizen reports that in their locality 4th main road near school Ganesh Nagar no proper drinking water supply past 2 years he had given the request letter to the concern department but no response.Please do the needful.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Poor quality pipeline network,Non Sakala,GADAG,Nargund,HADLI / Hadali,28/04/2025 09:40 AM,Closed by Officer,,,LMF,Assistance  Engineer/Junior Engineer-RDWS-NARAGUND,iPGRS-Call Center ,https://drive.google.com/file/d/1A48_v46d_jzpYg6s0hbCHT8ywb695BHZ/view?usp=sharing,
237811,CITIZEN SAYS THAT IN HIS LOCALITY  HE IS FACING ROAD ISSUES FROM PAST 3 MONTHS .AND HE IS SAYING ROAD IS NOT MAINTAINED PROPERLY DUE TO THIS ISSUE THEY ARE NOT ABLE TO WALK IN THE ROAD. AS PER THE CITIZEN CONCERN. PLEASE DO THE NEEDFUL.,Rural Development and Panchayath Raj Department,"Director, Rural Development",Village Internal Roads,Connectivity issue pertaining to internal roads,Road not maintained properly,,Non Sakala,KALABURAGI,Aland,DHANGAPUR / Devanti,27/04/2025 04:20 PM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-KALABURAGI,iPGRS-Call Center ,,
237809,CITIZEN SAYS THAT IN THEIR LOCALITY JJM TAP CONNECTION IS  NOT COMPLETED AND WATER NOT COMING IN TAPS. AS A RESULT PEOPLE OF THE LOCALITY ARE FACING SERIOUS PROBLEM FROM PAST THREE MONTHS. SO AS PER CITIZENS REQUEST KINDLY RESOLVE THIS ISSUE.,Rural Development and Panchayath Raj Department,Rural Drinking Water & Sanitation,Provision of Drinking Water,Facing problem with Drinking Water,Improper / Poor Infra Works,Jal Jeevan Mission tap connection not Completed,Non Sakala,KALABURAGI,Aland,DHANGAPUR / Devanti,27/04/2025 04:14 PM,Resolved (Feedback Taken),,,L3,Chief Executive Officer-ZP-CEO-KALABURAGI,iPGRS-Call Center ,https://drive.google.com/file/d/1Khufp_xSWzqJn6fbDfa-5Jz0snGsQboo/view?usp=sharing,
237721,"CITIZEN SAYS THAT IN ABOVE MENTIONED ADDRESS THE STREETLIGHT HAS NOT WORKING FOR PAST 30 DAYS. THEY COMPLAINED TO CONCERNED DEPARTMENT, BUT THERE WAS NO RESPONSE. PLEASE DO THE NEEDFUL ",Rural Development and Panchayath Raj Department,Karnataka Panchayat Raj Commissionerate,Maintenance of Street Light,Issues in Maintenance of Street Light,Street Light is Not Working,,Non Sakala,CHIKKAMAGALURU,Mudigere,HALEMUDIGERE / Muthigepura,26/04/2025 02:46 PM,Resolved (Feedback Taken),,,L2,Executive Officer -2-MUDIGERE,iPGRS-Call Center ,https://drive.google.com/file/d/109mVRlTicoqkcob_gTbh6uw-y0c6S1ea/view?usp=sharing,
